age,income,location_type,education_level,self_image_dependence,risk_tolerance,novelty_seeking,beauty_confidence,pain_sensitivity,tattoo_acceptance,cultural_conservatism,natural_look_preference,minutes_on_makeup_per_day,skincare_loyalty_score,prior_pmu_experience,influencer_trust,preferred_discovery_channel,information_skepticism,pmu_interest_level,cluster
39,70990.33154879004,urban,college,0.573462934162748,0.2315485497660847,0.4713757640371657,0.4085668350433493,0.7054715181601551,0.4865735566177741,0.0847636310314096,0.5391197488520525,23.366432120759704,0.2063549738916305,1,0.3753212061334522,in-store,0.1009431322117744,0.4858988416199853,1
33,63869.50524369153,urban,college,0.9450074652095332,0.2378691993758442,0.554800965201823,0.4329630051400014,0.5279757291256455,0.5931570015234284,0.2949939441676462,0.8584318748786598,37.95879309889155,0.7132613961743411,0,0.618418770895296,referral,0.7245574012707022,0.3378014971180184,0
41,50894.45554880261,urban,graduate,0.1733907554595966,0.2040041905022354,0.5671513326406421,0.7851875721347449,0.7044417194388223,0.1905679652861265,0.447127885131339,0.766878062423408,7.855831253516598,0.0543036917412474,0,0.5206273901624142,Instagram,0.3752032726115705,0.0,0
50,40295.94833441639,urban,high_school,0.6061793505716271,0.4191585358209164,0.7935221147957741,0.4324432567632498,0.8766630923527966,0.1410616286397403,0.3148233571349452,0.5514282510357441,23.15524754971152,0.5392459280711254,0,0.1030146983900736,Instagram,0.362955644359345,0.2299520634479236,0
32,60473.34970420385,rural,college,0.7813962164871724,0.187979688227675,0.4597696080806918,0.3405734515164507,0.6353317460988878,0.2220870792892889,0.1574982538710762,0.4405151797662023,0.0,0.4208215061953538,0,0.5394328291148609,YouTube,0.198484090964527,0.4437164400407907,0
32,55902.28078132625,rural,college,0.1956635159667099,0.2443242886051155,0.6834939548061769,0.596364495340835,0.6482986149122753,0.185999403722894,0.3519274561596699,0.5968434376888713,12.264762436408628,0.4996918160758313,0,0.4540431570715186,referral,0.3231680307290868,0.0446248696358662,0
50,63427.89830041598,urban,high_school,0.4853019028783693,0.3970802845779711,0.905353472418464,0.5772910680417945,0.8491195979198695,0.6488259406328598,0.5231971086759973,0.4899853977729055,40.72892300550608,0.2759266516949316,1,0.1844832415204449,in-store,0.3580141388458397,0.1472921552439027,1
42,59527.57702522954,rural,college,0.4931684208887631,0.22078531761749,0.6977094392327028,0.6291197317497691,0.9064498447573498,0.2186727123400003,0.8632066355855247,0.2017796512551332,44.41538712862102,0.6424524481359506,0,0.4010425718674635,referral,0.2854364819794794,0.0,0
30,65743.29072979002,suburban,college,0.3423955401296736,0.0770504232283455,0.5470311451939717,0.3951890402433616,0.3595535710250332,0.3853112225571495,0.636299370301299,0.5005696765623546,12.869931970304702,0.2286618385833625,1,0.3669990990560621,referral,0.1159077631498695,0.3655269979348771,1
40,41971.47182659148,urban,college,0.171695857737152,0.5512016763768751,0.4108927373560813,0.2416012433414418,0.4686796680305614,0.4908378109683131,0.4605867337361188,0.5296627653376368,25.13093176388436,0.3501086848067299,0,0.6493514278428056,Instagram,0.4591946077289778,0.3314277351042963,0
30,69760.91098451489,urban,high_school,0.884773299773861,0.3046329519476903,0.8021613915607966,0.3631150658817577,0.8635811836476012,0.4464704098576096,0.3874332055047163,0.8051364148920523,30.384092326919912,0.2319404535685288,0,0.3226293330711102,in-store,0.0736810215580206,0.4325176612521188,0
30,52963.994070386,suburban,college,0.271091368052952,0.3881095697886813,0.6935654021582043,0.6038446923693567,0.5800540818954367,0.5040060052689509,0.6340614553546465,0.8578980888374425,46.17165208263165,0.7660310333992093,0,0.6049785055449204,in-store,0.7664735138003395,0.222644371313405,0
37,81128.91308937898,suburban,college,0.3283060043548363,0.3827938983129327,0.2844032139720613,0.622292274685571,0.7730400087185982,0.4236039186373954,0.418052911579352,0.3359506844357184,52.936422997754846,0.2635334244165616,0,0.420857526820768,Instagram,0.3521175448132125,0.05502167425876,0
18,39662.18272865648,suburban,graduate,0.366173044553541,0.4272034602218528,0.1687436433514201,0.2912126009582,0.5728301665207776,0.3928244171064026,0.5194279550184729,0.9668133510337108,32.296233828345336,0.9598913549783752,0,0.412157064838871,Instagram,0.2657253916596864,0.2401396427902736,0
18,76039.45704747873,urban,high_school,0.4336201838707415,0.1243320176832481,0.7256766858858675,0.4140463613338997,0.8598376841515675,0.7282223556179209,0.2205105966234602,0.2662461177320703,26.09075016626652,0.3108931150562029,0,0.8386750853714935,referral,0.1805952484910861,0.2541494145828197,0
29,52968.66175193972,urban,college,0.5775323201852529,0.0932996632793853,0.6173122400868266,0.2224649205736246,0.8553401374849877,0.4551330544258574,0.2005181772134753,0.4500613003328056,8.344595869490483,0.3424394680885158,1,0.1390926670793786,referral,0.6657956809648985,0.3171591922780466,1
24,40228.72994578327,urban,college,0.7122514318486434,0.5549327567438236,0.7764948897835353,0.2619073120636879,0.7565345639950937,0.0791590574643749,0.3741829330731002,0.6351189696289837,31.621038518415904,0.6816203306524379,0,0.1526080971439302,referral,0.7512266191372884,0.3648195601226949,0
38,42741.71248918518,urban,graduate,0.7398927523659629,0.3221277308196948,0.318797947801083,0.7058380708005383,0.7840078431962408,0.5816719417755049,0.1110898362812495,0.6093345647702667,61.12383752235398,0.6508167126580084,1,0.3930611832766005,referral,0.5178308950324426,0.1901001437391718,1
25,45194.7903770852,urban,college,0.911076127883734,0.0064760300534954,0.9647745109562316,0.7875008864015091,0.6555271824414638,0.1712645443605074,0.2585762264992129,0.582050415466032,49.35288824905979,0.7505462402173578,1,0.0839360187264776,in-store,0.4263654171365659,0.4259445765534358,1
